"","Pathogens","Library","RPM","Tissue","Family","Type"
"855","Angiostrongylus cantonensis","M2112DBH47F",415.4286072,"Lung","Ancylostomatidae","Eukaryote"
"902","Angiostrongylus cantonensis","M2112DBH55F",1580.2549946,"Lung","Ancylostomatidae","Eukaryote"
"917","Angiostrongylus cantonensis","M2209HYHXSH556FB",39.788298,"Lung","Ancylostomatidae","Eukaryote"
"925","Angiostrongylus cantonensis","M2211APBCSW504F",530.6555798,"Lung","Ancylostomatidae","Eukaryote"
"963","Angiostrongylus cantonensis","M2209HYHJSH540CB",11.3464906,"Gut","Ancylostomatidae","Eukaryote"
"964","Angiostrongylus cantonensis","M2209JYHJSH569FB",17.2529704,"Lung","Ancylostomatidae","Eukaryote"
"994","Angiostrongylus cantonensis","M2209JYHJSH570FB",11.493771,"Lung","Ancylostomatidae","Eukaryote"
"1048","Angiostrongylus cantonensis","M2206APHJSH329F",1266.14485,"Lung","Ancylostomatidae","Eukaryote"
"1083","Angiostrongylus cantonensis","M2209HYHXSH553FBX100",153.73833,"Lung","Ancylostomatidae","Eukaryote"
"1086","Angiostrongylus cantonensis","M2211APBCSW503PBX100",7.6738049,"Spleen","Ancylostomatidae","Eukaryote"
"1104","Angiostrongylus cantonensis","M2204APBCSW291F",1296.84055,"Lung","Ancylostomatidae","Eukaryote"
"1124","Angiostrongylus cantonensis","M2112DBH20F",35.8799241,"Lung","Ancylostomatidae","Eukaryote"
"1132","Angiostrongylus cantonensis","M2209HYCQJH530CB",12.4230302,"Gut","Ancylostomatidae","Eukaryote"
"1139","Angiostrongylus cantonensis","M2204ZJBCSW228F",176.043347,"Lung","Ancylostomatidae","Eukaryote"
"1153","Angiostrongylus cantonensis","M2209HYHJSH539F",64.248204,"Lung","Ancylostomatidae","Eukaryote"
"1154","Angiostrongylus cantonensis","M2211APBCSW503F",111.590226,"Lung","Ancylostomatidae","Eukaryote"
"2012","Babesia microti","M2212YFShSW588FBX100",11.13032,"Lung","Babesiidae","Eukaryote"
"2402","Bartonella kosoyi","M2212SGHJSH684PX100",388.08,"Spleen","Bartonellaceae","Bacteria"
"2471","Bartonella kosoyi","M2112ZJHJSH135P",201.437,"Spleen","Bartonellaceae","Bacteria"
"2545","Bartonella kosoyi","M2201APHXSH085P",436.402,"Spleen","Bartonellaceae","Bacteria"
"2554","Bartonella kosoyi","M2201ZJHMSW169F",13.338,"Lung","Bartonellaceae","Bacteria"
"2629","Bartonella kosoyi","M2204ZJHMSW214F",506.218,"Lung","Bartonellaceae","Bacteria"
"2634","Bartonella kosoyi","M2209HYHJSH545PBX100",66.0293,"Spleen","Bartonellaceae","Bacteria"
"2654","Bartonella kosoyi","M2212SZHJSH852PX100",73.4984,"Spleen","Bartonellaceae","Bacteria"
"2752","Bartonella kosoyi","M2204APHXSH269RPX100",71.2213,"Spleen","Bartonellaceae","Bacteria"
"2798","Bartonella kosoyi","M2206APHJSH329P",837.05,"Spleen","Bartonellaceae","Bacteria"
"2842","Bartonella kosoyi","M2204ZJHJSH185P",1906.45,"Spleen","Bartonellaceae","Bacteria"
"2845","Bartonella kosoyi","M2209HYWDSW522PBX100",61.8033,"Spleen","Bartonellaceae","Bacteria"
"2847","Bartonella kosoyi","M2301APHJSH784P",271.703,"Spleen","Bartonellaceae","Bacteria"
"2857","Bartonella kosoyi","M2112ZJWDSW118P",1476.91,"Spleen","Bartonellaceae","Bacteria"
"2918","Bartonella kosoyi","M2212SZHXSH748P",468.903,"Spleen","Bartonellaceae","Bacteria"
"2931","Bartonella kosoyi","M2209HYHXSH555PB",7756.59,"Spleen","Bartonellaceae","Bacteria"
"2949","Bartonella kosoyi","M2212SGHMSW717P",273.255,"Spleen","Bartonellaceae","Bacteria"
"2965","Bartonella kosoyi","M2212YFHMSW603PB",752.859,"Spleen","Bartonellaceae","Bacteria"
"2998","Bartonella kosoyi","M2204APHXSH269F",101.674,"Lung","Bartonellaceae","Bacteria"
"3032","Bartonella kosoyi","M2212SGHMSW719PX100",135.4,"Spleen","Bartonellaceae","Bacteria"
"3175","Bartonella kosoyi","M2204ZJCQJH209F",191.179,"Lung","Bartonellaceae","Bacteria"
"3217","Bartonella kosoyi","M2212YFWDSW606PB",5801.3,"Spleen","Bartonellaceae","Bacteria"
"3226","Bartonella kosoyi","M2204APBCSW282F",455.979,"Lung","Bartonellaceae","Bacteria"
"3266","Bartonella kosoyi","M2212SSHJSH641PX100",13.8124,"Spleen","Bartonellaceae","Bacteria"
"3397","Bartonella kosoyi","M2212SGHMSW715PX100",207.227,"Spleen","Bartonellaceae","Bacteria"
"3438","Bartonella kosoyi","M2212SGHMSW714PX100",31.8574,"Spleen","Bartonellaceae","Bacteria"
"3473","Bartonella kosoyi","M2212SGHMSW714FX100",17.0727,"Lung","Bartonellaceae","Bacteria"
"3478","Bartonella kosoyi","M2212SSHJSH634F",53.3937,"Lung","Bartonellaceae","Bacteria"
"3480","Bartonella kosoyi","M2206ZJHXSH364RP",295.444,"Spleen","Bartonellaceae","Bacteria"
"3717","Bartonella sp","M2204APHXSH269RPX100",71.2213,"Spleen","Bartonellaceae","Bacteria"
"4082","Bartonella sp","M2212SZHJSH758P",1320.54,"Spleen","Bartonellaceae","Bacteria"
"4090","Bartonella sp","M2206ZJHXSH361P",78.8,"Spleen","Bartonellaceae","Bacteria"
"4181","Bartonella sp","M2212SZHJSH764PX100",99.7016,"Spleen","Bartonellaceae","Bacteria"
"4196","Bartonella sp","M2204APHJSH263P",512.818,"Spleen","Bartonellaceae","Bacteria"
"4213","Bartonella sp","M2112ZJHXSH137P",111.527,"Spleen","Bartonellaceae","Bacteria"
"4243","Bartonella sp","M2212SGHMSW715PX100",207.227,"Spleen","Bartonellaceae","Bacteria"
"4277","Bartonella sp","M2207ZJHJSW377RC",92.6826,"Gut","Bartonellaceae","Bacteria"
"4395","Bartonella sp","M2301ZJHXSH833PX100",42.7493,"Spleen","Bartonellaceae","Bacteria"
"4528","Bartonella sp","M2212SZHJSH765PX100",92.9781,"Spleen","Bartonellaceae","Bacteria"
"4592","Bartonella sp","M2204APHXSH277F",12.3928,"Lung","Bartonellaceae","Bacteria"
"4599","Bartonella sp","M2301APBCSW802C",33.6462,"Gut","Bartonellaceae","Bacteria"
"4826","Beilong virus","M2112ZJHJSW115F",4.079772,"Lung","Paramyxoviridae","RNA Virus"
"4934","Beilong virus","M2207ZJBCSW381RPX100",1.464585,"Spleen","Paramyxoviridae","RNA Virus"
"4953","Beilong virus","M2212SSHXSH659FX100",30.2346,"Lung","Paramyxoviridae","RNA Virus"
"4995","Beilong virus","M2112ZJHJSH135CRX100",17.647239,"Gut","Paramyxoviridae","RNA Virus"
"5042","Beilong virus","M2212SGHJSH682FX100",19.7902,"Lung","Paramyxoviridae","RNA Virus"
"5221","Beilong virus","M2204APHJSH264F",2.893701,"Lung","Paramyxoviridae","RNA Virus"
"5253","Beilong virus","M2204ZJHJSH185F",242.409112,"Lung","Paramyxoviridae","RNA Virus"
"5263","Beilong virus","M2212SSHXSH659PX100",7.051064,"Spleen","Paramyxoviridae","RNA Virus"
"5542","Beilong virus","M2112DBH20F",1.132684,"Lung","Paramyxoviridae","RNA Virus"
"5626","Beilong virus","M2212SGHMSW715FX100",4.102563,"Lung","Paramyxoviridae","RNA Virus"
"5682","Beilong virus","M2112ZJHJSH135F",240.9705589,"Lung","Paramyxoviridae","RNA Virus"
"5865","Betacoronavirus 1","M2112DBH44C",1004.61167,"Gut","Coronaviridae","RNA Virus"
"5889","Betacoronavirus 1","M2112DBH40C",9653.35595,"Gut","Coronaviridae","RNA Virus"
"5902","Betacoronavirus 1","M2112DBH58F",613.7809896,"Lung","Coronaviridae","RNA Virus"
"5975","Betacoronavirus 1","M2212SGHJSH672CX100",86.7494753,"Gut","Coronaviridae","RNA Virus"
"5995","Betacoronavirus 1","M2112DBH45C",8191.6224,"Gut","Coronaviridae","RNA Virus"
"5999","Betacoronavirus 1","M2112DBH34C",2864.38505,"Gut","Coronaviridae","RNA Virus"
"6032","Betacoronavirus 1","M2212SGHJSH684FX100",34.4755,"Lung","Coronaviridae","RNA Virus"
"6099","Betacoronavirus 1","M2212SGHJSH682FX100",13.61967,"Lung","Coronaviridae","RNA Virus"
"6117","Betacoronavirus 1","M2112DBH36C",8560.0581,"Gut","Coronaviridae","RNA Virus"
"6154","Betacoronavirus 1","M2201APXTSW112C",4.84444,"Gut","Coronaviridae","RNA Virus"
"6164","Betacoronavirus 1","M2112DBH52C",22966.82397,"Gut","Coronaviridae","RNA Virus"
"6245","Betacoronavirus 1","M2112DBH53C",11813.33215,"Gut","Coronaviridae","RNA Virus"
"6276","Betacoronavirus 1","M2206APHXSH339RC",60.4566,"Gut","Coronaviridae","RNA Virus"
"6342","Betacoronavirus 1","M2301APHXSW779CX100",383.85931,"Gut","Coronaviridae","RNA Virus"
"6349","Betacoronavirus 1","M2212SGHJSH685CX100",193.178463,"Gut","Coronaviridae","RNA Virus"
"6362","Betacoronavirus 1","M2112DBH51C",705.42139,"Gut","Coronaviridae","RNA Virus"
"6423","Betacoronavirus 1","M2201APBCSW100C",614.488342,"Gut","Coronaviridae","RNA Virus"
"6447","Betacoronavirus 1","M2301ZJBCSW814CX100",1173.684,"Gut","Coronaviridae","RNA Virus"
"6448","Betacoronavirus 1","M2212YFHMSH585CBX100",577.73346,"Gut","Coronaviridae","RNA Virus"
"6628","Betacoronavirus 1","M2212SGHMSW706FX100",14.35902,"Lung","Coronaviridae","RNA Virus"
"6649","Betacoronavirus 1","M2206APHXSH340RC",470.4477,"Gut","Coronaviridae","RNA Virus"
"6668","Betacoronavirus 1","M2112DBH41C",1813.306991,"Gut","Coronaviridae","RNA Virus"
"6687","Betacoronavirus 1","M2112DBH42C",965.0068,"Gut","Coronaviridae","RNA Virus"
"6735","Betacoronavirus 1","M2204APHMSW293C",1624.5802427,"Gut","Coronaviridae","RNA Virus"
"6757","Betacoronavirus 1","M2112DBH33C",42968.966,"Gut","Coronaviridae","RNA Virus"
"6781","Betacoronavirus 1","M2112DBH35C",12935.015884,"Gut","Coronaviridae","RNA Virus"
"6793","Betacoronavirus 1","M2112DBH58C",966.03126,"Gut","Coronaviridae","RNA Virus"
"6818","Betacoronavirus 1","M2204APBCSW290C",307.99558,"Gut","Coronaviridae","RNA Virus"
"6827","Betacoronavirus 1","M2212SZWDSW735CN",1915.19428,"Gut","Coronaviridae","RNA Virus"
"6863","Betacoronavirus 1","M2112DBH45F",1486.8419925,"Lung","Coronaviridae","RNA Virus"
"6912","Betacoronavirus 1","M2212SGHJSH683FX100",50.42446,"Lung","Coronaviridae","RNA Virus"
"6936","Betacoronavirus 1","M2112DBH39C",4002.021,"Gut","Coronaviridae","RNA Virus"
"6988","Betacoronavirus 1","M2112DBH47C",580.49367,"Gut","Coronaviridae","RNA Virus"
"7129","Brachylaima sp","M2211ZJCQJH446C",27.06936,"Gut","Brachylaimidae","Eukaryote"
"7306","Brachylaima sp","M2209HYHJSH544FB",4.874512,"Lung","Brachylaimidae","Eukaryote"
"7353","Brachylaima sp","M2211ZJHXSH451F",1.279849,"Lung","Brachylaimidae","Eukaryote"
"7384","Brachylaima sp","M2211ZJCQJH447C",17.4921,"Gut","Brachylaimidae","Eukaryote"
"7662","Brachylaima sp","M2201APCQJH074CRX100",10.6259,"Gut","Brachylaimidae","Eukaryote"
"7737","Brachylaima sp","M2211APCQJH463F",1.0888811,"Lung","Brachylaimidae","Eukaryote"
"8143","Brachylaima sp","M2201APCQJH072C",23.0047,"Gut","Brachylaimidae","Eukaryote"
"8165","Brachylaima sp","M2112DBH08C",8.78745,"Gut","Brachylaimidae","Eukaryote"
"8216","Chilomastix sp","M2112DBH51C",3.81612,"Gut","Retortamonadidae","Eukaryote"
"8889","Chilomastix sp","M2112ZJWDSW118C",6.13615,"Gut","Retortamonadidae","Eukaryote"
"9391","Chlamydia muridarum","M2201APBCSW097C",29.9902,"Gut","Chlamydiaceae","Bacteria"
"9609","Chlamydia muridarum","M2112ZJBCSW121C",25.6038,"Gut","Chlamydiaceae","Bacteria"
"9634","Chlamydia muridarum","M2201APCQJH076C",60.686,"Gut","Chlamydiaceae","Bacteria"
"9649","Chlamydia muridarum","M2301ZJBCSW815CX100",140.793,"Gut","Chlamydiaceae","Bacteria"
"9781","Chlamydia muridarum","M2212SZHMSW730CX100",44.8567,"Gut","Chlamydiaceae","Bacteria"
"9980","Chlamydia muridarum","M2207ZJBCSH860CX100",721.366,"Gut","Chlamydiaceae","Bacteria"
"10013","Chlamydia muridarum","M2112DBH37C",571.373,"Gut","Chlamydiaceae","Bacteria"
"10033","Chlamydia muridarum","M2209HYHMSW513CBX100",13.0869,"Gut","Chlamydiaceae","Bacteria"
"10124","Chlamydia muridarum","M2112DBH62C",145.572,"Gut","Chlamydiaceae","Bacteria"
"10256","Chlamydia muridarum","M2112DBH22C",49.0172,"Gut","Chlamydiaceae","Bacteria"
"10273","Chlamydia muridarum","M2301APBCSW807CX100",10.5524,"Gut","Chlamydiaceae","Bacteria"
"10278","Chlamydia muridarum","M2301APBCSW805CX100",10.8419,"Gut","Chlamydiaceae","Bacteria"
"10375","Chlamydia muridarum","M2112ZJBCSW125C",46.6241,"Gut","Chlamydiaceae","Bacteria"
"10423","Chlamydia muridarum","M2112DBH20C",1709.38,"Gut","Chlamydiaceae","Bacteria"
"10501","Chlamydia muridarum","M2209JYHXSH563CBX100",103.76,"Gut","Chlamydiaceae","Bacteria"
"10719","Collinsella aerofaciens","M2212SZHJSH759CX100",1070.31,"Gut","Coriobacteriaceae","Bacteria"
"10914","Collinsella aerofaciens","M2301APHJSH782CX100",171.226,"Gut","Coriobacteriaceae","Bacteria"
"11161","Collinsella aerofaciens","M2301APHXSH777CX100",503.691,"Gut","Coriobacteriaceae","Bacteria"
"11396","Collinsella aerofaciens","M2212SZHJSH768CX100",447.977,"Gut","Coriobacteriaceae","Bacteria"
"11437","Collinsella aerofaciens","M2112DBH54C",356.359,"Gut","Coriobacteriaceae","Bacteria"
"11624","Collinsella aerofaciens","M2209JYHJSH569CBX100",780.939,"Gut","Coriobacteriaceae","Bacteria"
"11751","Cryptosporidium ubiquitum","M2301ZJHMSW831C",1.853969,"Gut","Cryptosporidiidae","Eukaryote"
"11944","Cryptosporidium ubiquitum","M2211APHJSH479C",6.83599,"Gut","Cryptosporidiidae","Eukaryote"
"12056","Cryptosporidium ubiquitum","M2211ZJHJSH444C",1.042196,"Gut","Cryptosporidiidae","Eukaryote"
"12273","Cryptosporidium ubiquitum","M2212YFWDSW609CX100",17.8477,"Gut","Cryptosporidiidae","Eukaryote"
"12276","Cryptosporidium ubiquitum","M2212SGHXSH669C",1.890682,"Gut","Cryptosporidiidae","Eukaryote"
"12315","Cryptosporidium ubiquitum","M2112DBH39C",4.049642,"Gut","Cryptosporidiidae","Eukaryote"
"12338","Cryptosporidium ubiquitum","M2212SGHJSH685CX100",1.299772,"Gut","Cryptosporidiidae","Eukaryote"
"12427","Cryptosporidium ubiquitum","M2301APCQJH772CX100",2.4647433,"Gut","Cryptosporidiidae","Eukaryote"
"12704","Cryptosporidium ubiquitum","M2301ZJHMSW826CX100",2.815033,"Gut","Cryptosporidiidae","Eukaryote"
"13477","Deer mastadenovirus B","M2210ZJCQJH401C",134.125,"Gut","Adenoviridae","DNA Virus"
"13679","Deer mastadenovirus B","M2112ZJHXSH137CRX100",1.143451,"Gut","Adenoviridae","DNA Virus"
"13764","Deer mastadenovirus B","M2112ZJHXSH137F",1.404769,"Lung","Adenoviridae","DNA Virus"
"14394","Eimeria dispersa","M2112DBH07RCX100",35.4297,"Gut","Eimeriidae","Eukaryote"
"14774","Eimeria dispersa","M2206APCQJH327C",12.28079,"Gut","Eimeriidae","Eukaryote"
"15168","Eimeria dispersa","M2206APCQJH322C",1.43815,"Gut","Eimeriidae","Eukaryote"
"15433","Eimeria falciformis","M2112DBH56C",2.71491,"Gut","Eimeriidae","Eukaryote"
"15785","Eimeria falciformis","M2212YFHMSW603CNX100",2.30037,"Gut","Eimeriidae","Eukaryote"
"16000","Eimeria falciformis","M2204ZJBCSW230C",9.07855,"Gut","Eimeriidae","Eukaryote"
"16060","Eimeria falciformis","M2112DBH48C",1.659294,"Gut","Eimeriidae","Eukaryote"
"16155","Eimeria falciformis","M2201APBCSW092C",1.724727,"Gut","Eimeriidae","Eukaryote"
"16203","Eimeria falciformis","M2206APBCSW306C",1.281024,"Gut","Eimeriidae","Eukaryote"
"16242","Eimeria falciformis","M2209HYHJSH543CX100",2.61945,"Gut","Eimeriidae","Eukaryote"
"16266","Eimeria falciformis","M2201APBCSW102C",1.396455,"Gut","Eimeriidae","Eukaryote"
"16344","Eimeria falciformis","M2204ZJBCSW229C",1.046809,"Gut","Eimeriidae","Eukaryote"
"16422","Giardia sp1","M2212SSHXSH650CX100",2.985895,"Gut","Hexamitidae","Eukaryote"
"16451","Giardia sp1","M2201APBCSW098C",11.587561,"Gut","Hexamitidae","Eukaryote"
"16525","Giardia sp1","M2212SGHXSH667CX100",2.171131,"Gut","Hexamitidae","Eukaryote"
"16738","Giardia sp1","M2112DBH51C",2.0203,"Gut","Hexamitidae","Eukaryote"
"16739","Giardia sp1","M2112DBH27C",1.790958,"Gut","Hexamitidae","Eukaryote"
"16846","Giardia sp1","M2112DBH38C",3.8222253,"Gut","Hexamitidae","Eukaryote"
"16862","Giardia sp1","M2212SGHXSH668CX100",8.507504,"Gut","Hexamitidae","Eukaryote"
"16947","Giardia sp1","M2209HYHMSW513CBX100",2.936164,"Gut","Hexamitidae","Eukaryote"
"17009","Giardia sp1","M2112ZJWDSW118C",2.2747714,"Gut","Hexamitidae","Eukaryote"
"17031","Giardia sp1","M2212SGHXSH663CX100",1.151624,"Gut","Hexamitidae","Eukaryote"
"17103","Giardia sp1","M2212SZWDSW735CN",3.766281,"Gut","Hexamitidae","Eukaryote"
"17204","Giardia sp1","M2112DBH54C",1.0164761,"Gut","Hexamitidae","Eukaryote"
"17276","Giardia sp1","M2211APHXSH483CBRX100",4.705918,"Gut","Hexamitidae","Eukaryote"
"17311","Giardia sp1","M2212SGHMSW711CX100",8.1530493,"Gut","Hexamitidae","Eukaryote"
"17392","Giardia sp1","M2204APHMSW294C",158.025778,"Gut","Hexamitidae","Eukaryote"
"17406","Giardia sp1","M2112DBH30C",6.44504,"Gut","Hexamitidae","Eukaryote"
"17506","Giardia sp1","M2210ZJBCSW421C",2.60117,"Gut","Hexamitidae","Eukaryote"
"17553","Giardia sp3","M2112DBH28C",3.728221,"Gut","Hexamitidae","Eukaryote"
"18092","Giardia sp3","M2201APHXSH086C",69.7068,"Gut","Hexamitidae","Eukaryote"
"18158","Giardia sp3","M2201ZJHXSH180C",11.26483,"Gut","Hexamitidae","Eukaryote"
"19199","Guangdong Bandicota indica arterivirus virus","M2212SGBCSW691FN",1017.11,"Lung","Arteriviridae","RNA Virus"
"19883","Guangdong Bandicota indica astrovirus","M2112DBH46C",19.82153,"Gut","Astroviridae","RNA Virus"
"19956","Guangdong Bandicota indica astrovirus","M2112DBH44C",899.5815,"Gut","Astroviridae","RNA Virus"
"20830","Guangdong Bandicota indica astrovirus","M2112DBH41C",14.818861,"Gut","Astroviridae","RNA Virus"
"20864","Guangdong Bandicota indica astrovirus","M2112DBH39C",5193.38158,"Gut","Astroviridae","RNA Virus"
"21035","Guangdong dicipi-like virus","M2211APCQJH458C",203.7096,"Gut","Picornaviridae","RNA Virus"
"21460","Guangdong dicipi-like virus","M2112DBH07RCX100",617.6291635,"Gut","Picornaviridae","RNA Virus"
"21778","Guangdong dicipi-like virus","M2204APCQJH243C",44.44126,"Gut","Picornaviridae","RNA Virus"
"21929","Guangdong dicipi-like virus","M2201APCQJH076C",8.03897,"Gut","Picornaviridae","RNA Virus"
"22134","Guangdong dicipi-like virus","M2209HYHXSH550CBX100",17.17718,"Gut","Picornaviridae","RNA Virus"
"22194","Guangdong murine mastadenovirus 2","M2112ZJHXSH148CRE",20.6079,"Gut","Adenoviridae","DNA Virus"
"22325","Guangdong murine mastadenovirus 2","M2301ZJHXSH835F",1.175976,"Lung","Adenoviridae","DNA Virus"
"22416","Guangdong murine mastadenovirus 2","M2301APBCSW807CX100",104.617394,"Gut","Adenoviridae","DNA Virus"
"22490","Guangdong murine mastadenovirus 2","M2112DBH24C",26.3875,"Gut","Adenoviridae","DNA Virus"
"22764","Guangdong murine mastadenovirus 2","M2112DBH39C",8.463747,"Gut","Adenoviridae","DNA Virus"
"22968","Guangdong murine mastadenovirus 2","M2212SZHJSH770F",1.05225,"Lung","Adenoviridae","DNA Virus"
"23107","Guangdong murine mastadenovirus 2","M2301ZJBCSW816CX100",1.42293,"Gut","Adenoviridae","DNA Virus"
"23115","Guangdong murine mastadenovirus 2","M2201APBCSW095C",13.830692,"Gut","Adenoviridae","DNA Virus"
"23313","Guangdong murine mastadenovirus 2","M2212SGHXSH664CX100",29.015126,"Gut","Adenoviridae","DNA Virus"
"24464","Guangdong parechovirus","M2204APHJSH260C",379.553,"Gut","Picornaviridae","RNA Virus"
"24674","Guangdong Rattus norvegicus arterivirus virus","M2112ZJHJSH130F",7.64093,"Lung","Arteriviridae","RNA Virus"
"24937","Guangdong Rattus norvegicus arterivirus virus","M2209JYHJSH577CBX100",81.4011,"Gut","Arteriviridae","RNA Virus"
"25042","Guangdong Rattus norvegicus arterivirus virus","M2212SZHJSH766FX100",4.55591,"Lung","Arteriviridae","RNA Virus"
"25249","Guangdong Rattus norvegicus arterivirus virus","M2209JYHJSH567FBX100",55.0198,"Lung","Arteriviridae","RNA Virus"
"25265","Guangdong Rattus norvegicus arterivirus virus","M2112ZJHJSH130C",3.88197,"Gut","Arteriviridae","RNA Virus"
"25647","Guangdong Rattus norvegicus arterivirus virus","M2212SSHJSH638PX100",7.16497,"Spleen","Arteriviridae","RNA Virus"
"25895","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH754PX100",134.5514,"Spleen","Arteriviridae","RNA Virus"
"25959","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH754FX100",41.40877,"Lung","Arteriviridae","RNA Virus"
"26008","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH759CX100",24.270759,"Gut","Arteriviridae","RNA Virus"
"26155","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH768CX100",36.711397,"Gut","Arteriviridae","RNA Virus"
"26197","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH759F",12.53923,"Lung","Arteriviridae","RNA Virus"
"26238","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH761FX100",129.2943643,"Lung","Arteriviridae","RNA Virus"
"26242","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH760F",31.796748,"Lung","Arteriviridae","RNA Virus"
"26264","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH766P",11.556232,"Spleen","Arteriviridae","RNA Virus"
"26331","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH768FX100",150.0062,"Lung","Arteriviridae","RNA Virus"
"26345","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH757P",27.16337,"Spleen","Arteriviridae","RNA Virus"
"26366","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH762FX100",128.9502,"Lung","Arteriviridae","RNA Virus"
"26419","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH766FX100",7.38257,"Lung","Arteriviridae","RNA Virus"
"26561","Guangdong Rattus norvegicus arterivirus virus 2","M2212SZHJSH761CX100",53.49982,"Gut","Arteriviridae","RNA Virus"
"26914","Guangdong rodent arterivirus 1","M2112ZJBCSW125F",1271.88704,"Lung","Arteriviridae","RNA Virus"
"26927","Guangdong rodent arterivirus 1","M2211APBCSW499C",17.104679,"Gut","Arteriviridae","RNA Virus"
