"","name","x","y","circular","Type","Name","PathogensType","shownames","color","degree","size",".ggraph.orig_index",".ggraph.index","point.type","new_x","new_y"
"49","Pneumocystis carinii",2.76445565236959,4.24500787191447,FALSE,"Eukaryote","Eukaryote","Cross-species transmission","","#A4C8D9",1,3,54,54,"Rodentia",54.26,62.4
"50","Pneumocystis murina",5.21500347939867,3.47017221643241,FALSE,"Eukaryote","Eukaryote","Cross-genus transmission","","#EDAE92",1,3,55,55,"Rodentia",99.3,66.7
"51","Pneumocystis sus",-0.0203356150626401,1.19012402956356,FALSE,"Eukaryote","Eukaryote","Detected in single species","","#1D75B5",0.5,2.12132034355964,56,56,"Eulipoyphla",17.9,13.3
"52","Pneumocystis wakefieldiae",4.89557858169924,2.63594907233533,FALSE,"Eukaryote","Eukaryote","Cross-genus transmission","","#EDAE92",2,4.24264068711929,57,57,"Rodentia",102.4,46.2
"53","Porcine bocavirus",3.6,0.8,FALSE,"DNA Virus","DNA Virus","Cross-order transmission","Porcine bocavirus","#ff4d4d",3.5,5.61248608016091,58,58,"Others",65.73,10.82
"54","Rabovirus A",4.81531462929541,3.44190597688727,FALSE,"RNA Virus","RNA Virus","Cross-genus transmission","","#EDAE92",1.5,3.67423461417477,59,59,"Rodentia",100,57.9
"55","Raillietina sp",2.98872770139616,4.20523698211726,FALSE,"Eukaryote","Eukaryote","Cross-species transmission","","#A4C8D9",1,3,60,60,"Rodentia",52.4,58.41
"56","Rat hepatitis E virus",4.2323831636736,1.74810775847538,FALSE,"RNA Virus","RNA Virus","Cross-genus transmission","","#EDAE92",2,4.24264068711929,61,61,"Rodentia",93.1,31.5
"57","Rat minute virus 2a",2,2.4,FALSE,"DNA Virus","DNA Virus","Cross-order transmission","Rat minute virus 2a","#ff4d4d",4,6,62,62,"Others",62,14
"58","Rat parvovirus 1",3.82959744722458,4.48774475079316,FALSE,"DNA Virus","DNA Virus","Cross-species transmission","","#A4C8D9",1,3,63,63,"Rodentia",77.6,71.6
"59","Rat parvovirus 2",2.33754128309828,3.68580029794376,FALSE,"DNA Virus","DNA Virus","Cross-species transmission","","#A4C8D9",1,3,64,64,"Rodentia",57.33,59.4
"60","Rattus andamanensis",4.16598911664617,1.96919323733902,FALSE,"Host","Rattus andamanensis","Rattus andamanensis","Rattus andamanensis","#329845",8.5,8.74642784226795,7,7,"Rodentia",92.2,33.6
"61","Rattus losea",3.82006468846814,2.58135731348907,FALSE,"Host","Rattus losea","Rattus losea","Rattus losea","#AED185",12,10.3923048454133,2,2,"Rodentia",83.1,41.7
"62","Rattus norvegicus",3.57119706377168,3.5019712698901,FALSE,"Host","Rattus norvegicus","Rattus norvegicus","Rattus norvegicus","#B43970",23.5,14.543039572249,3,3,"Rodentia",76.1,56.4
"63","Rattus tanezumi",2.93196422990562,2.83876803280015,FALSE,"Host","Rattus tanezumi","Rattus tanezumi","Rattus tanezumi","#A695BD",20.5,13.5830777072061,4,4,"Rodentia",66.6,44.1
"64","Rodent astrovirus 1",4.05301885114265,2.95467242034396,FALSE,"RNA Virus","RNA Virus","Cross-genus transmission","","#EDAE92",2.5,4.74341649025257,65,65,"Rodentia",86.9,50.2
"65","Rodent astrovirus 2",3.63221614219616,4.92540434410531,FALSE,"RNA Virus","RNA Virus","Detected in single species","","#1D75B5",0.5,2.12132034355964,66,66,"Rodentia",78.6,79.73
"66","Rodent astrovirus 3",3.55871725081031,3.10317593326211,FALSE,"RNA Virus","RNA Virus","Cross-genus transmission","","#EDAE92",2.5,4.74341649025257,67,67,"Rodentia",73.92,51.92
"67","Rodent coronavirus",5.10201811972241,3.81404934153996,FALSE,"RNA Virus","RNA Virus","Cross-genus transmission","","#EDAE92",1,3,68,68,"Rodentia",105.8,61.1
"68","Rodent pegivirus",2.75631892996948,3.99531860670094,FALSE,"RNA Virus","RNA Virus","Cross-species transmission","","#A4C8D9",1,3,69,69,"Rodentia",58.05,65.9
"69","Spironucleus sp",5.68529155728914,1.64432038840141,FALSE,"Eukaryote","Eukaryote","Detected in single species","","#1D75B5",0.5,2.12132034355964,70,70,"Rodentia",118.6,30
"70","Spironucleus sp2",3.35013558174818,4.88840943048125,FALSE,"Eukaryote","Eukaryote","Detected in single species","","#1D75B5",0.5,2.12132034355964,71,71,"Rodentia",63,75.63
"71","Spironucleus sp3",4.27432956433024,4.83108725312881,FALSE,"Eukaryote","Eukaryote","Detected in single species","","#1D75B5",0.5,2.12132034355964,72,72,"Rodentia",67.9,77.2
"72","Spironucleus sp4",5.20707797442678,3.24952404380724,FALSE,"Eukaryote","Eukaryote","Cross-genus transmission","","#EDAE92",1,3,73,73,"Rodentia",103.46,64.63
"73","Spironucleus sp5",5.25743495574054,1.60970958180001,FALSE,"Eukaryote","Eukaryote","Cross-genus transmission","","#EDAE92",1,3,74,74,"Rodentia",109.8,33.4
"74","Strongyloides ratti",4.29949243591988,2.81890585863626,FALSE,"Eukaryote","Eukaryote","Cross-genus transmission","","#EDAE92",2.5,4.74341649025257,75,75,"Rodentia",86.5,46.3
"75","Strongyloides stercoralis",0.663473002955911,0.399933318769789,FALSE,"Eukaryote","Eukaryote","Detected in single species","","#1D75B5",0.5,2.12132034355964,76,76,"Eulipoyphla",49,-1.3
"76","Strongyloides venezuelensis",4.27758752473044,4.11416143680774,FALSE,"Eukaryote","Eukaryote","Cross-species transmission","","#A4C8D9",1.5,3.67423461417477,77,77,"Rodentia",86,67.8
"77","Suncus murinus",1.31892590402002,1.36445201187613,FALSE,"Host","Suncus murinus","Suncus murinus","Suncus murinus","#43978F",7.5,8.21583836257749,5,5,"Eulipoyphla",41.7,20
"78","Tritrichomonas sp",3.62169055651305,2.37424875843445,FALSE,"Eukaryote","Eukaryote","Cross-genus transmission","","#EDAE92",3,5.19615242270663,78,78,"Rodentia",81.6,37.17
"79","Trypanosoma lewis",2.97264432846624,3.39515077254925,FALSE,"Eukaryote","Eukaryote","Cross-species transmission","","#A4C8D9",2,4.24264068711929,79,79,"Rodentia",65.21,52.62
"80","Wenzhou Apodemus agrarius hepacivirus 1",1.08705602742323,0.152815085700475,FALSE,"RNA Virus","RNA Virus","Detected in single species","","#1D75B5",0.5,2.12132034355964,80,80,"Eulipoyphla",24.6,7.8
"81","Wnezhou virus",4.18244571007751,2.49020532158891,FALSE,"RNA Virus","RNA Virus","Cross-genus transmission","","#EDAE92",2,4.24264068711929,81,81,"Rodentia",88.6,54
