"","Library","Pathogens","RPM","Tissue","Family","Type","Individual"
"28","M2112DBH17P","Orthohantavirus seoulense",31.887579,"Spleen","Hantaviridae","RNA Virus","M2112DBH17"
"29","M2112DBH18F","Nippostrongylus brasiliensis",2.4412187,"Lung","Ancylostomatidae","Eukaryote","M2112DBH18"
"30","M2112DBH18P","Porcine bocavirus",7.165138,"Spleen","Parvoviridae","DNA Virus","M2112DBH18"
"31","M2112DBH19C","Wenzhou virus",3822.37,"Gut","Arenaviridae","RNA Virus","M2112DBH19"
"32","M2112DBH19F","Rat minute virus 2a",1823.872,"Lung","Parvoviridae","DNA Virus","M2112DBH19"
"33","M2112DBH19F","Pneumocystis wakefieldiae",102.223028,"Lung","Pneumocystaceae","Eukaryote","M2112DBH19"
"34","M2112DBH19F","Pneumocystis carinii",72.95273,"Lung","Pneumocystaceae","Eukaryote","M2112DBH19"
"35","M2112DBH19F","Wenzhou virus",2914.09,"Lung","Arenaviridae","RNA Virus","M2112DBH19"
"36","M2112DBH19P","Wenzhou virus",1380.854,"Spleen","Arenaviridae","RNA Virus","M2112DBH19"
"37","M2112DBH20C","Chlamydia muridarum",1709.38,"Gut","Chlamydiaceae","Bacteria","M2112DBH20"
"38","M2112DBH20F","Beilong virus",1.132684,"Lung","Paramyxoviridae","RNA Virus","M2112DBH20"
"39","M2112DBH20F","Angiostrongylus cantonensis",35.8799241,"Lung","Ancylostomatidae","Eukaryote","M2112DBH20"
"40","M2112DBH20F","Rat minute virus 2a",80.43792,"Lung","Parvoviridae","DNA Virus","M2112DBH20"
"41","M2112DBH22C","Norway rat pestivirus",135.53128,"Gut","Flaviviridae","RNA Virus","M2112DBH22"
"42","M2112DBH22C","Chlamydia muridarum",49.0172,"Gut","Chlamydiaceae","Bacteria","M2112DBH22"
"43","M2112DBH22F","Norway rat pestivirus",46.306927,"Lung","Flaviviridae","RNA Virus","M2112DBH22"
"44","M2112DBH22F","Pneumocystis carinii",1.189047,"Lung","Pneumocystaceae","Eukaryote","M2112DBH22"
"45","M2112DBH22F","Rat minute virus 2a",246.0012,"Lung","Parvoviridae","DNA Virus","M2112DBH22"
"46","M2112DBH22P","Norway rat pestivirus",98.46192,"Spleen","Flaviviridae","RNA Virus","M2112DBH22"
"47","M2112DBH23C","Hunnivirus A",5.548093,"Gut","Picornaviridae","RNA Virus","M2112DBH23"
"48","M2112DBH23P","Norway rat pestivirus",92.686461,"Spleen","Flaviviridae","RNA Virus","M2112DBH23"
"49","M2112DBH24C","Guangdong murine mastadenovirus 2",26.3875,"Gut","Adenoviridae","DNA Virus","M2112DBH24"
"50","M2112DBH24C","Raillietina sp",3.23774,"Gut","Davaineidae","Eukaryote","M2112DBH24"
"51","M2112DBH24F","Guangdong rodent dependoparvovirus 1",2.159867,"Lung","Parvoviridae","DNA Virus","M2112DBH24"
"52","M2112DBH24P","Porcine bocavirus",31.07378,"Spleen","Parvoviridae","DNA Virus","M2112DBH24"
"53","M2112DBH25C","Rodent astrovirus 3",108.20319,"Gut","Astroviridae","RNA Virus","M2112DBH25"
"54","M2112DBH25F","Pneumocystis wakefieldiae",1.1223528,"Lung","Pneumocystaceae","Eukaryote","M2112DBH25"
"55","M2112DBH26C","Murine kobuvirus",14.515602,"Gut","Picornaviridae","RNA Virus","M2112DBH26"
"56","M2112DBH26C","Tritrichomonas sp",1.016092,"Gut","Tritrichomonadidae","Eukaryote","M2112DBH26"
"57","M2112DBH26C","Rat hepatitis E virus",310.4159,"Gut","Hepeviridae","RNA Virus","M2112DBH26"
"58","M2112DBH26C","Rodent astrovirus 3",901.12809,"Gut","Astroviridae","RNA Virus","M2112DBH26"
"59","M2112DBH26P","Rodent astrovirus 3",8.328896,"Spleen","Astroviridae","RNA Virus","M2112DBH26"
"60","M2112DBH26P","Rat hepatitis E virus",54.27085,"Spleen","Hepeviridae","RNA Virus","M2112DBH26"
"61","M2112DBH27C","Giardia sp1",1.790958,"Gut","Hexamitidae","Eukaryote","M2112DBH27"
"62","M2112DBH27C","Norwalk virus",53.0074,"Gut","Caliciviridae","RNA Virus","M2112DBH27"
"63","M2112DBH27C","Guangdong rodent dependoparvovirus 3",65.0467,"Gut","Parvoviridae","DNA Virus","M2112DBH27"
"64","M2112DBH27P","Norway rat pestivirus",71.67267,"Spleen","Flaviviridae","RNA Virus","M2112DBH27"
"65","M2112DBH28C","Norwalk virus",3.28306,"Gut","Caliciviridae","RNA Virus","M2112DBH28"
"66","M2112DBH28C","Giardia sp3",3.728221,"Gut","Hexamitidae","Eukaryote","M2112DBH28"
"67","M2112DBH30C","Giardia sp1",6.44504,"Gut","Hexamitidae","Eukaryote","M2112DBH30"
"68","M2112DBH30F","Trypanosoma lewis",4.647293,"Lung","Trypanosomatidae","Eukaryote","M2112DBH30"
"69","M2112DBH30F","Wenzhou virus",194.8824,"Lung","Arenaviridae","RNA Virus","M2112DBH30"
"70","M2112DBH31F","Trypanosoma lewis",1.7057981,"Lung","Trypanosomatidae","Eukaryote","M2112DBH31"
"71","M2112DBH32F","Rat minute virus 2a",421.775,"Lung","Parvoviridae","DNA Virus","M2112DBH32"
"72","M2112DBH32F","Rat hepatitis E virus",2.194168,"Lung","Hepeviridae","RNA Virus","M2112DBH32"
"73","M2112DBH32P","Rat hepatitis E virus",51.0136,"Spleen","Hepeviridae","RNA Virus","M2112DBH32"
"74","M2112DBH33C","Guangdong rodent picorna-like virus 14",5.10347,"Gut","Picornaviridae","RNA Virus","M2112DBH33"
"75","M2112DBH33C","Guangdong rosa-like virus",9.978441,"Gut","Picornaviridae","RNA Virus","M2112DBH33"
"76","M2112DBH33C","Rodent astrovirus 1",26406.509,"Gut","Astroviridae","RNA Virus","M2112DBH33"
"77","M2112DBH33C","Betacoronavirus 1",42968.966,"Gut","Coronaviridae","RNA Virus","M2112DBH33"
"78","M2112DBH33C","Wenzhou virus",400.5076,"Gut","Arenaviridae","RNA Virus","M2112DBH33"
"79","M2112DBH33C","Guangdong rodent dependoparvovirus 4",7.54095,"Gut","Parvoviridae","DNA Virus","M2112DBH33"
"80","M2112DBH33C","Parabovirus A",98.26077,"Gut","Picornaviridae","RNA Virus","M2112DBH33"
"81","M2112DBH33C","Hypotrichomonas",1.52342,"Gut","Hypotrichomonadidae","Eukaryote","M2112DBH33"
"82","M2112DBH33F","Wenzhou virus",4753.364983,"Lung","Arenaviridae","RNA Virus","M2112DBH33"
"83","M2112DBH33F","Pneumocystis wakefieldiae",3.3998135,"Lung","Pneumocystaceae","Eukaryote","M2112DBH33"
"84","M2112DBH33P","Wenzhou virus",270.8494,"Spleen","Arenaviridae","RNA Virus","M2112DBH33"
"85","M2112DBH34C","Rodent astrovirus 3",15.44614,"Gut","Astroviridae","RNA Virus","M2112DBH34"
"86","M2112DBH34C","Rodent coronavirus",147.17471,"Gut","Coronaviridae","RNA Virus","M2112DBH34"
"87","M2112DBH34C","Betacoronavirus 1",2864.38505,"Gut","Coronaviridae","RNA Virus","M2112DBH34"
"88","M2112DBH34C","Guangdong rodent arterivirus 1",12.08639,"Gut","Arteriviridae","RNA Virus","M2112DBH34"
"89","M2112DBH34F","Wenzhou virus",113.89337,"Lung","Arenaviridae","RNA Virus","M2112DBH34"
"90","M2112DBH34F","Guangdong rodent arterivirus 1",1046.2785,"Lung","Arteriviridae","RNA Virus","M2112DBH34"
"91","M2112DBH34P","Guangdong rodent arterivirus 1",295.69001,"Spleen","Arteriviridae","RNA Virus","M2112DBH34"
"92","M2112DBH35C","Murine kobuvirus",154.34924,"Gut","Picornaviridae","RNA Virus","M2112DBH35"
"93","M2112DBH35C","Rodent astrovirus 1",15250.8368,"Gut","Astroviridae","RNA Virus","M2112DBH35"
"94","M2112DBH35C","Parabovirus A",5.044477,"Gut","Picornaviridae","RNA Virus","M2112DBH35"
"95","M2112DBH35C","Betacoronavirus 1",12935.015884,"Gut","Coronaviridae","RNA Virus","M2112DBH35"
"96","M2112DBH35C","Guangdong rosa-like virus",27.36771,"Gut","Picornaviridae","RNA Virus","M2112DBH35"
"97","M2112DBH35C","Guangdong rodent arterivirus 1",30.846669,"Gut","Arteriviridae","RNA Virus","M2112DBH35"
"98","M2112DBH35F","Guangdong rodent arterivirus 1",3142.163468,"Lung","Arteriviridae","RNA Virus","M2112DBH35"
"99","M2112DBH35F","Rat minute virus 2a",187.0877,"Lung","Parvoviridae","DNA Virus","M2112DBH35"
"100","M2112DBH35P","Guangdong rodent arterivirus 1",675.28911,"Spleen","Arteriviridae","RNA Virus","M2112DBH35"
"101","M2112DBH36C","Betacoronavirus 1",8560.0581,"Gut","Coronaviridae","RNA Virus","M2112DBH36"
"102","M2112DBH36C","Spironucleus sp",10.42645,"Gut","Hexamitidae","Eukaryote","M2112DBH36"
"103","M2112DBH36C","Guangdong rodent arterivirus 1",53.979217,"Gut","Arteriviridae","RNA Virus","M2112DBH36"
"104","M2112DBH36C","Rat minute virus 2a",629.1021,"Gut","Parvoviridae","DNA Virus","M2112DBH36"
"105","M2112DBH36C","Rodent astrovirus 1",108.315959,"Gut","Astroviridae","RNA Virus","M2112DBH36"
"106","M2112DBH36C","Strongyloides ratti",1.0724347,"Gut","Strongyloididae","Eukaryote","M2112DBH36"
"107","M2112DBH36C","Rodent astrovirus 3",318.0373,"Gut","Astroviridae","RNA Virus","M2112DBH36"
"108","M2112DBH36F","Guangdong rodent arterivirus 1",158.049476,"Lung","Arteriviridae","RNA Virus","M2112DBH36"
"109","M2112DBH36F","Rat minute virus 2a",354.991,"Lung","Parvoviridae","DNA Virus","M2112DBH36"
"110","M2112DBH36P","Rat minute virus 2a",78758.2912,"Spleen","Parvoviridae","DNA Virus","M2112DBH36"
"111","M2112DBH36P","Guangdong rodent arterivirus 1",1416.088,"Spleen","Arteriviridae","RNA Virus","M2112DBH36"
"112","M2112DBH37C","Rodent astrovirus 3",1009.7895,"Gut","Astroviridae","RNA Virus","M2112DBH37"
"113","M2112DBH37C","Chlamydia muridarum",571.373,"Gut","Chlamydiaceae","Bacteria","M2112DBH37"
"114","M2112DBH38C","Rodent astrovirus 1",2986.37191,"Gut","Astroviridae","RNA Virus","M2112DBH38"
"115","M2112DBH38C","Murine kobuvirus",54.350233,"Gut","Picornaviridae","RNA Virus","M2112DBH38"
"116","M2112DBH38C","Giardia sp1",3.8222253,"Gut","Hexamitidae","Eukaryote","M2112DBH38"
"117","M2112DBH38F","Rat minute virus 2a",442.166,"Lung","Parvoviridae","DNA Virus","M2112DBH38"
"118","M2112DBH38P","Rat minute virus 2a",82835.6855,"Spleen","Parvoviridae","DNA Virus","M2112DBH38"
"119","M2112DBH39C","Rodent astrovirus 1",1020.591353,"Gut","Astroviridae","RNA Virus","M2112DBH39"
"120","M2112DBH39C","Guangdong murine mastadenovirus 2",8.463747,"Gut","Adenoviridae","DNA Virus","M2112DBH39"
"121","M2112DBH39C","Rat minute virus 2a",802.2752,"Gut","Parvoviridae","DNA Virus","M2112DBH39"
"122","M2112DBH39C","Guangdong Bandicota indica astrovirus",5193.38158,"Gut","Astroviridae","RNA Virus","M2112DBH39"
"123","M2112DBH39C","Guangdong rodent dependoparvovirus 4",1382.5512,"Gut","Parvoviridae","DNA Virus","M2112DBH39"
"124","M2112DBH39C","Guangdong rodent mastadenovirus 1",88.889638,"Gut","Adenoviridae","DNA Virus","M2112DBH39"
"125","M2112DBH39C","Betacoronavirus 1",4002.021,"Gut","Coronaviridae","RNA Virus","M2112DBH39"
"126","M2112DBH39C","Cryptosporidium ubiquitum",4.049642,"Gut","Cryptosporidiidae","Eukaryote","M2112DBH39"
"127","M2112DBH39F","Rat minute virus 2a",162.1922,"Lung","Parvoviridae","DNA Virus","M2112DBH39"
"128","M2112DBH39P","Rat minute virus 2a",13524.693,"Spleen","Parvoviridae","DNA Virus","M2112DBH39"
"129","M2112DBH40C","Angiostrongylus cantonensis",10.2373558,"Gut","Ancylostomatidae","Eukaryote","M2112DBH40"
"130","M2112DBH40C","Guangdong rodent arterivirus 1",472.448,"Gut","Arteriviridae","RNA Virus","M2112DBH40"
"131","M2112DBH40C","Betacoronavirus 1",9653.35595,"Gut","Coronaviridae","RNA Virus","M2112DBH40"
"132","M2112DBH40C","Guangdong rodent picorna-like virus 14",108.72772,"Gut","Picornaviridae","RNA Virus","M2112DBH40"
"133","M2112DBH40C","Hunnivirus A",5.58936,"Gut","Picornaviridae","RNA Virus","M2112DBH40"
"134","M2112DBH40F","Guangdong rodent arterivirus 1",333.8648,"Lung","Arteriviridae","RNA Virus","M2112DBH40"
"135","M2112DBH40P","Guangdong rodent arterivirus 1",3278.91,"Spleen","Arteriviridae","RNA Virus","M2112DBH40"
"136","M2112DBH41C","Betacoronavirus 1",1813.306991,"Gut","Coronaviridae","RNA Virus","M2112DBH41"
"137","M2112DBH41C","Hunnivirus A",7.128069,"Gut","Picornaviridae","RNA Virus","M2112DBH41"
"138","M2112DBH41C","Guangdong rodent arterivirus 1",20.596394,"Gut","Arteriviridae","RNA Virus","M2112DBH41"
"139","M2112DBH41C","Rodent astrovirus 1",28412.23036,"Gut","Astroviridae","RNA Virus","M2112DBH41"
"140","M2112DBH41C","Guangdong Bandicota indica astrovirus",14.818861,"Gut","Astroviridae","RNA Virus","M2112DBH41"
"141","M2112DBH41C","Norwalk virus",82.87315,"Gut","Caliciviridae","RNA Virus","M2112DBH41"
"142","M2112DBH41F","Guangdong rodent arterivirus 1",67.70949,"Lung","Arteriviridae","RNA Virus","M2112DBH41"
"143","M2112DBH41P","Guangdong rodent arterivirus 1",1402.4004,"Spleen","Arteriviridae","RNA Virus","M2112DBH41"
"144","M2112DBH42C","Rat minute virus 2a",247.464,"Gut","Parvoviridae","DNA Virus","M2112DBH42"
"145","M2112DBH42C","Wenzhou virus",3679.2391,"Gut","Arenaviridae","RNA Virus","M2112DBH42"
"146","M2112DBH42C","Betacoronavirus 1",965.0068,"Gut","Coronaviridae","RNA Virus","M2112DBH42"
"147","M2112DBH42C","Rodent astrovirus 1",2845.85284,"Gut","Astroviridae","RNA Virus","M2112DBH42"
"148","M2112DBH42F","Wenzhou virus",9050.7858515,"Lung","Arenaviridae","RNA Virus","M2112DBH42"
"149","M2112DBH42F","Rat minute virus 2a",86.88762,"Lung","Parvoviridae","DNA Virus","M2112DBH42"
"150","M2112DBH42P","Rat minute virus 2a",87081.744619,"Spleen","Parvoviridae","DNA Virus","M2112DBH42"
"151","M2112DBH42P","Wenzhou virus",806.22959,"Spleen","Arenaviridae","RNA Virus","M2112DBH42"
"152","M2112DBH43C","Rodent astrovirus 3",4855.6474834,"Gut","Astroviridae","RNA Virus","M2112DBH43"
"153","M2112DBH43C","Rat minute virus 2a",376.3896,"Gut","Parvoviridae","DNA Virus","M2112DBH43"
"154","M2112DBH43F","Rat minute virus 2a",137.38707,"Lung","Parvoviridae","DNA Virus","M2112DBH43"
"155","M2112DBH43P","Rat minute virus 2a",3615.798,"Spleen","Parvoviridae","DNA Virus","M2112DBH43"
"156","M2112DBH44C","Betacoronavirus 1",1004.61167,"Gut","Coronaviridae","RNA Virus","M2112DBH44"
"157","M2112DBH44C","Rodent astrovirus 3",172.25313,"Gut","Astroviridae","RNA Virus","M2112DBH44"
"158","M2112DBH44C","Hunnivirus A",24.712857,"Gut","Picornaviridae","RNA Virus","M2112DBH44"
"159","M2112DBH44C","Guangdong rodent arterivirus 1",196.00247,"Gut","Arteriviridae","RNA Virus","M2112DBH44"
"160","M2112DBH44C","Guangdong Bandicota indica astrovirus",899.5815,"Gut","Astroviridae","RNA Virus","M2112DBH44"
"161","M2112DBH44C","Wenzhou virus",267.42,"Gut","Arenaviridae","RNA Virus","M2112DBH44"
"162","M2112DBH44C","Spironucleus sp",48.8022,"Gut","Hexamitidae","Eukaryote","M2112DBH44"
"163","M2112DBH44F","Wenzhou virus",174.74245,"Lung","Arenaviridae","RNA Virus","M2112DBH44"
"164","M2112DBH44F","Guangdong rodent arterivirus 1",396.731095,"Lung","Arteriviridae","RNA Virus","M2112DBH44"
"165","M2112DBH44P","Guangdong rodent arterivirus 1",5477.78,"Spleen","Arteriviridae","RNA Virus","M2112DBH44"
"166","M2112DBH44P","Wenzhou virus",92.269115,"Spleen","Arenaviridae","RNA Virus","M2112DBH44"
"167","M2112DBH45C","Murine kobuvirus",6.01154,"Gut","Picornaviridae","RNA Virus","M2112DBH45"
"168","M2112DBH45C","Rodent astrovirus 1",19754.24323,"Gut","Astroviridae","RNA Virus","M2112DBH45"
"169","M2112DBH45C","Spironucleus sp4",4.03829,"Gut","Hexamitidae","Eukaryote","M2112DBH45"
"170","M2112DBH45C","Rat minute virus 2a",483.677,"Gut","Parvoviridae","DNA Virus","M2112DBH45"
"171","M2112DBH45C","Betacoronavirus 1",8191.6224,"Gut","Coronaviridae","RNA Virus","M2112DBH45"
"172","M2112DBH45F","Betacoronavirus 1",1486.8419925,"Lung","Coronaviridae","RNA Virus","M2112DBH45"
"173","M2112DBH45F","Pneumocystis wakefieldiae",2.0260908,"Lung","Pneumocystaceae","Eukaryote","M2112DBH45"
"174","M2112DBH45F","Rat minute virus 2a",213.3364,"Lung","Parvoviridae","DNA Virus","M2112DBH45"
"175","M2112DBH45P","Rat minute virus 2a",50884.7763,"Spleen","Parvoviridae","DNA Virus","M2112DBH45"
"176","M2112DBH46C","Guangdong Bandicota indica astrovirus",19.82153,"Gut","Astroviridae","RNA Virus","M2112DBH46"
"177","M2112DBH46P","Rat minute virus 2a",6790.988,"Spleen","Parvoviridae","DNA Virus","M2112DBH46"
"178","M2112DBH47C","Betacoronavirus 1",580.49367,"Gut","Coronaviridae","RNA Virus","M2112DBH47"
"179","M2112DBH47C","Hypotrichomonas",1.99109,"Gut","Hypotrichomonadidae","Eukaryote","M2112DBH47"
"180","M2112DBH47C","Porcine bocavirus",43140.57,"Gut","Parvoviridae","DNA Virus","M2112DBH47"
"181","M2112DBH47C","Spironucleus sp",3.982172,"Gut","Hexamitidae","Eukaryote","M2112DBH47"
"182","M2112DBH47C","Tritrichomonas sp",371.971426,"Gut","Tritrichomonadidae","Eukaryote","M2112DBH47"
"183","M2112DBH47F","Porcine bocavirus",230.851826,"Lung","Parvoviridae","DNA Virus","M2112DBH47"
"184","M2112DBH47F","Angiostrongylus cantonensis",415.4286072,"Lung","Ancylostomatidae","Eukaryote","M2112DBH47"
"185","M2112DBH47P","Porcine bocavirus",8350.855,"Spleen","Parvoviridae","DNA Virus","M2112DBH47"
"186","M2112DBH47P","Rat minute virus 2a",711.317196,"Spleen","Parvoviridae","DNA Virus","M2112DBH47"
"187","M2112DBH48C","Eimeria falciformis",1.659294,"Gut","Eimeriidae","Eukaryote","M2112DBH48"
"188","M2112DBH48C","Spironucleus sp2",4.56305,"Gut","Hexamitidae","Eukaryote","M2112DBH48"
"189","M2112DBH48C","Hunnivirus A",14.77804,"Gut","Picornaviridae","RNA Virus","M2112DBH48"
"190","M2112DBH48C","Guangdong rosa-like virus",16.178122,"Gut","Picornaviridae","RNA Virus","M2112DBH48"
"191","M2112DBH48C","Rodent astrovirus 3",499.186895,"Gut","Astroviridae","RNA Virus","M2112DBH48"
"192","M2112DBH48C","Spironucleus sp4",6.89642,"Gut","Hexamitidae","Eukaryote","M2112DBH48"
"193","M2112DBH48C","Porcine bocavirus",11976.5151,"Gut","Parvoviridae","DNA Virus","M2112DBH48"
"194","M2112DBH48F","Pneumocystis wakefieldiae",4.4491104,"Lung","Pneumocystaceae","Eukaryote","M2112DBH48"
"195","M2112DBH48F","Pneumocystis carinii",34.74765,"Lung","Pneumocystaceae","Eukaryote","M2112DBH48"
"196","M2112DBH49F","Pneumocystis wakefieldiae",5.4862179,"Lung","Pneumocystaceae","Eukaryote","M2112DBH49"
"197","M2112DBH49F","Angiostrongylus cantonensis",1457.289673,"Lung","Ancylostomatidae","Eukaryote","M2112DBH49"
"198","M2112DBH49F","Pneumocystis carinii",94.28725,"Lung","Pneumocystaceae","Eukaryote","M2112DBH49"
"199","M2112DBH50F","Wenzhou virus",84.324642,"Lung","Arenaviridae","RNA Virus","M2112DBH50"
"200","M2112DBH50P","Rat minute virus 2a",78.644771,"Spleen","Parvoviridae","DNA Virus","M2112DBH50"
"201","M2112DBH51C","Rodent astrovirus 3",2298.873,"Gut","Astroviridae","RNA Virus","M2112DBH51"
"202","M2112DBH51C","Giardia sp1",2.0203,"Gut","Hexamitidae","Eukaryote","M2112DBH51"
"203","M2112DBH51C","Guangdong rodent dependoparvovirus 4",249.170228,"Gut","Parvoviridae","DNA Virus","M2112DBH51"
"204","M2112DBH51C","Chilomastix sp",3.81612,"Gut","Retortamonadidae","Eukaryote","M2112DBH51"
"205","M2112DBH51C","Spironucleus sp",6.6221,"Gut","Hexamitidae","Eukaryote","M2112DBH51"
"206","M2112DBH51C","Tritrichomonas sp",22.111052,"Gut","Tritrichomonadidae","Eukaryote","M2112DBH51"
"207","M2112DBH51C","Rabovirus A",144.1145,"Gut","Picornaviridae","RNA Virus","M2112DBH51"
"208","M2112DBH51C","Porcine bocavirus",57.57864,"Gut","Parvoviridae","DNA Virus","M2112DBH51"
"209","M2112DBH51C","Betacoronavirus 1",705.42139,"Gut","Coronaviridae","RNA Virus","M2112DBH51"
"210","M2112DBH51C","Guangdong rodent arterivirus 1",130.53389,"Gut","Arteriviridae","RNA Virus","M2112DBH51"
"211","M2112DBH51F","Angiostrongylus cantonensis",10.341683,"Lung","Ancylostomatidae","Eukaryote","M2112DBH51"
"212","M2112DBH51F","Rat minute virus 2a",152.60833,"Lung","Parvoviridae","DNA Virus","M2112DBH51"
"213","M2112DBH51F","Guangdong rodent arterivirus 1",186.09572,"Lung","Arteriviridae","RNA Virus","M2112DBH51"
"214","M2112DBH51P","Guangdong rodent arterivirus 1",920.1164,"Spleen","Arteriviridae","RNA Virus","M2112DBH51"
"215","M2112DBH52C","Betacoronavirus 1",22966.82397,"Gut","Coronaviridae","RNA Virus","M2112DBH52"
"216","M2112DBH52C","Rodent astrovirus 3",633.92883,"Gut","Astroviridae","RNA Virus","M2112DBH52"
"217","M2112DBH53C","Betacoronavirus 1",11813.33215,"Gut","Coronaviridae","RNA Virus","M2112DBH53"
"218","M2112DBH53F","Guangdong rodent arterivirus 1",1357.68802,"Lung","Arteriviridae","RNA Virus","M2112DBH53"
"219","M2112DBH53P","Guangdong rodent arterivirus 1",397.722108,"Spleen","Arteriviridae","RNA Virus","M2112DBH53"
"220","M2112DBH54C","Nippostrongylus brasiliensis",1.5247134,"Gut","Ancylostomatidae","Eukaryote","M2112DBH54"
"221","M2112DBH54C","Rodent astrovirus 3",134.00532,"Gut","Astroviridae","RNA Virus","M2112DBH54"
"222","M2112DBH54C","Collinsella aerofaciens",356.359,"Gut","Coriobacteriaceae","Bacteria","M2112DBH54"
"223","M2112DBH54C","Murine kobuvirus",17.901269,"Gut","Picornaviridae","RNA Virus","M2112DBH54"
"224","M2112DBH54C","Rodent astrovirus 2",3207.1808,"Gut","Astroviridae","RNA Virus","M2112DBH54"
"225","M2112DBH54C","Giardia sp1",1.0164761,"Gut","Hexamitidae","Eukaryote","M2112DBH54"
"226","M2112DBH54C","Strongyloides venezuelensis",9.345924,"Gut","Strongyloididae","Eukaryote","M2112DBH54"
"227","M2112DBH54F","Pneumocystis carinii",58.75022,"Lung","Pneumocystaceae","Eukaryote","M2112DBH54"
"228","M2112DBH54F","Nippostrongylus brasiliensis",2.072317,"Lung","Ancylostomatidae","Eukaryote","M2112DBH54"
"229","M2112DBH54F","Pneumocystis wakefieldiae",4.213713,"Lung","Pneumocystaceae","Eukaryote","M2112DBH54"
"230","M2112DBH54P","Rat minute virus 2a",94.3835,"Spleen","Parvoviridae","DNA Virus","M2112DBH54"
"231","M2112DBH55F","Angiostrongylus cantonensis",1580.2549946,"Lung","Ancylostomatidae","Eukaryote","M2112DBH55"
"232","M2112DBH55F","Nippostrongylus brasiliensis",4.520784,"Lung","Ancylostomatidae","Eukaryote","M2112DBH55"
"233","M2112DBH56C","Wenzhou virus",10804.42,"Gut","Arenaviridae","RNA Virus","M2112DBH56"
"234","M2112DBH56C","Eimeria falciformis",2.71491,"Gut","Eimeriidae","Eukaryote","M2112DBH56"
"235","M2112DBH56F","Wenzhou virus",7481.922,"Lung","Arenaviridae","RNA Virus","M2112DBH56"
"236","M2112DBH56F","Pneumocystis carinii",3.172771,"Lung","Pneumocystaceae","Eukaryote","M2112DBH56"
"237","M2112DBH56P","Wenzhou virus",432.61472,"Spleen","Arenaviridae","RNA Virus","M2112DBH56"
